X[s];meli: EMG 1;juan: EMG 2
0;-0,0000204776;0,0000318914
0,001;-0,0000191348;0,0000117495
0,002;-0,0000171206;-0,0000043641
0,003;-0,0000194705;-0,0000083925
0,004;-0,0000218204;-0,0000305486
0,005;-0,0000191348;-0,0000228275
0,006;-0,0000201419;-0,0000302129
0,007;-0,0000211490;-0,0000466621
0,008;-0,0000208133;-0,0000715038
0,009;-0,0000198062;-0,0000768750
0,01;-0,0000218204;-0,0000748608
0,011;-0,0000221561;-0,0000674754
0,012;-0,0000177920;-0,0000500191
0,013;-0,0000154421;-0,0000298772
0,014;-0,0000157778;-0,0000151064
0,015;-0,0000154421;-0,0000278630
0,016;-0,0000204776;-0,0000177920
0,017;-0,0000204776;-0,0000449836
0,018;-0,0000224918;-0,0000842603
0,019;-0,0000177920;-0,0001124590
0,02;-0,0000167849;-0,0001245440
0,021;-0,0000211490;-0,0001255510
0,022;-0,0000218204;-0,0001185020
0,023;-0,0000224918;-0,0001064160
0,024;-0,0000164492;-0,0000835889
0,025;-0,0000234989;-0,0000728466
0,026;-0,0000194705;-0,0000701610
0,027;-0,0000191348;-0,0000100710
0,028;-0,0000231632;0,0000251774
0,029;-0,0000238346;0,0000365911
0,03;-0,0000241703;0,0000436408
0,031;-0,0000245060;0,0000567330
0,032;-0,0000231632;0,0000584115
0,033;-0,0000231632;0,0000533761
0,034;-0,0000191348;0,0000527047
0,035;-0,0000211490;0,0000631113
0,036;-0,0000137636;0,0000654612
0,037;-0,0000198062;0,0000731823
0,038;-0,0000194705;0,0000741894
0,039;-0,0000201419;0,0000721752
0,04;-0,0000208133;0,0000600900
0,041;-0,0000224918;0,0000520333
0,042;-0,0000204776;0,0000345769
0,043;-0,0000164492;0,0000023499
0,044;-0,0000177920;-0,0000419623
0,045;-0,0000218204;-0,0000701610
0,046;-0,0000238346;-0,0000970169
0,047;-0,0000177920;-0,0000970169
0,048;-0,0000211490;-0,0000661326
0,049;-0,0000181277;-0,0000399481
0,05;-0,0000218204;-0,0000164492
0,051;-0,0000221561;0,0000050355
0,052;-0,0000218204;0,0000043641
0,053;-0,0000218204;0,0000090639
0,054;-0,0000248417;0,0000211490
0,055;-0,0000245060;0,0000208133
0,056;-0,0000218204;0,0000198062
0,057;-0,0000184634;0,0000211490
0,058;-0,0000177920;0,0000063783
0,059;-0,0000198062;0,0000144350
0,06;-0,0000211490;0,0000198062
0,061;-0,0000191348;0,0000060426
0,062;-0,0000144350;-0,0000043641
0,063;-0,0000171206;-0,0000043641
0,064;-0,0000177920;-0,0000046998
0,065;-0,0000191348;-0,0000100710
0,066;-0,0000171206;-0,0000010071
0,067;-0,0000154421;-0,0000164492
0,068;-0,0000238346;-0,0000365911
0,069;-0,0000245060;-0,0000419623
0,07;-0,0000211490;-0,0000399481
